รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน เมษายน 2569,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
,,เสาไห้,,0,0,0,2026-04-06 00:00:00,ค่าเช่า 1-30/4/69,
,,ยูเซ็น,,0,0,0,2026-04-21 00:00:00,งานเดือน 3,
2026-02-06 00:00:00,2602-008,NIPPON 6W,27500,0,275,27225,,,
2026-02-27 00:00:00,2602-009,NIPPON BC,15366,0,153.66,15212.34,,,
2026-02-27 00:00:00,2602-009AD,NIPPON BC,260,0,0,260,2026-04-30 00:00:00,,
2026-03-04 00:00:00,2602-009AD-1,NIPPON BC,1106,0,0,1106,,,
2026-02-27 00:00:00,2602-010,NIPPON 6W,22000,0,220,21780,,,
,,รวมเป็นเงิน,66232,0,648.66,65583.34,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-02-20 00:00:00,2602-002,Homepro W1,112336,0,1123.3600000000001,111212.64,,,
2026-02-28 00:00:00,2602-003,Homepro W2,117161,0,1171.6100000000001,115989.39,2026-04-08 00:00:00,งานเดือน 2,
2026-02-28 00:00:00,2602-004,Homepro BH,36718,0,367.18,36350.82,พุธที่2ของเดือน,,
2026-02-28 00:00:00,2602-012,Homepro W2 ย้ายสาขา,1397,0,13.97,1383.03,,,
,,รวมเป็นเงิน,267612,0,2676.12,264935.88,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
,,DHL นีเวียร์,,0,0,0,,26/2 - 25/3,
,,DHL เฮนเคล+ชบา,,0,0,0,,1-31/3,
,,DHL บิ๊กซี BPD,,0,0,0,,1-31/3,
,,DHL บิ๊กซี XD,,0,0,0,2026-04-30 00:00:00,1-31/3,
,,DHL บิ๊กซี TB,,0,0,0,,1-31/3,
,ค่าเคลม 5/7,"ค่าเคลมของเสียหาย 23/11/24 สมนึก (700,000)",-100000,,0,-100000,,,
,ค่าผ่อนรถ 34/35,,-64000,0,0,-64000,,,
,,รวมเป็นเงิน,-164000,0,0,-164000,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
,,DHL OATSIDE,,0,0,0,,1-31/3  // ใบเสร็จให้ออกตามเงินออกจริง เช่น โอนเดือน 3 ก็ออกเดือน3,
,,DHL OATSIDE คชจ,,0,0,0,,,
,,DHL CONTINENTAL,,0,0,0,2026-04-30 00:00:00,1-31/3,
,,DHL CHEVROLET,,0,0,0,,1-31/3,
,,รวมเป็นเงิน,0,0,0,0,,,
,,,,,,,,,
,,,,,,,,,
(KLN) CREDIT 30 DAYS // รอบ 26-25//MCL 01013423593,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
,,TE CONNECTIVITY,,0,0,0,,,
,,TE CONNECTIVITY,,0,0,0,,,
,,,,0,0,0,,,
,,รวมเป็นเงิน,0,0,0,0,,,
