รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน สิงหาคม 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-08-01 00:00:00,2508-001,เสาไห้,33275,0,1663.75,31611.25,2025-08-06 00:00:00,ค่าเช่า 1-30/8/68,2508-001
2025-07-31 00:00:00,2507-012,ยูเซ็น,25099.59,0,250.9959,24848.5941,,,2508-027
,,ยูเซ็น ค่ายก,297,0,2.97,294.03,2025-08-21 00:00:00,งานเดือน 7,2508-027
2025-06-13 00:00:00,2506-008,NIPPON 6W,27500,,275,27225,2025-08-20 00:00:00,,2508-004
2025-08-15 00:00:00,2508-008,งานญี่ปุ่น NEW DEK,4500,0,45,4455,,,2508-021
,,รวมเป็นเงิน,90671.59,0,2237.7159,88433.8741,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-06-20 00:00:00,2506-002,Homepro W1,101070,0,1010.7,100059.3,,,2508-002
2025-06-30 00:00:00,2506-003,Homepro W2,104617,0,1046.17,103570.83,2025-08-05 00:00:00,งานเดือน 6,2508-002
2025-06-30 00:00:00,2506-004,Homepro BH+IMPORT,150515,0,1505.15,149009.85,,ค่าขนส่งตู้เปิด,2508-002
2025-06-30 00:00:00,2506-014,Homepro W2 EVENT,1000,0,10,990,,สำรองจ่ายตู้เปิด,2508-002
,,ค่าเคลมของเสียหาย 8/7/25 นิวิฐ,-3269.99,0,0,-3269.99,,,
,,รวมเป็นเงิน,353932.01,0,3572.02,350359.99,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-08-04 00:00:00,2507-005,DHL นีเวียร์,396579,0,3965.79,392613.21,,26/6 - 25/7,2509-008
2025-08-04 00:00:00,2507-006,DHL เฮนเคล+ชบา,28950.4,0,289.504,28660.896,,1-30/7,2509-007
2025-08-08 00:00:00,2507-013,DHL บิ๊กซี WN,39257.39,0,392.5739,38864.8161,,1-30/7,2510-003
2025-08-08 00:00:00,2507-014,DHL บิ๊กซี BPD,7717.37,0,77.1737,7640.1963,,1-30/7,2510-004
2025-08-08 00:00:00,2507-015,DHL บิ๊กซี XD,1136024.68,0,11360.246799999999,1124664.4331999999,2025-08-30 00:00:00,1-30/7,2510-005
2025-08-08 00:00:00,2507-016,DHL บิ๊กซี TB,218638.74,0,2186.3874,216452.35259999998,,1-30/7,2510-006
,ค่าผ่อนรถ 26/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,1731167.5799999998,0,18271.6758,1712895.9041999998,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-08-01 00:00:00,DS2507-001,DHL OATSIDE,15600,0,156,15444,,,2509-010
,,DHL OATSIDE คชจ,4549.05,0,0,4549.05,,,
2025-08-02 00:00:00,DL2507-001,DHL CONTINENTAL,74800,0,748,74052,,,2509-006
2025-08-05 00:00:00,2507-007,DHL CHEVROLET 4W,25200,0,252,24948,,1/7-31/7,2509-009
2025-07-26 00:00:00,CDIV2507-001,DHL CARRIER,130850,0,1308.5,129541.5,,,2509-011
,,DHL CARRIER คชจ,31118.4,0,0,31118.4,,,
,,รวมเป็นเงิน,282117.45,0,2464.5,279652.95,,,
