รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน ธันวาคม 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-12-02 00:00:00,2512-001,เสาไห้,33275,0,1663.75,31611.25,2025-12-06 00:00:00,ค่าเช่า 1-30/12/68,2512-001
2025-11-30 00:00:00,2511-008,ยูเซ็น,8409.38,0,84.09379999999999,8325.286199999999,2025-12-21 00:00:00,งานเดือน 11,2512-062
2025-10-13 00:00:00,2510-009,NIPPON 6W,27500,0,275,27225,2025-12-20 00:00:00,,2512-064
2025-12-19 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,2025-12-19 00:00:00
2025-12-26 00:00:00,,เฮียเกรียง,2800,,0,2800,,,2025-12-26 00:00:00
2025-12-16 00:00:00,,PT PRO,6000,0,0,6000,,,2025-12-16 00:00:00
,,รวมเป็นเงิน,80784.38,0,2022.8438,78761.5362,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-10-20 00:00:00,2510-002,Homepro W1,142471,0,1424.71,141046.29,,,2512-002
2025-10-31 00:00:00,2510-003,Homepro W2,183455,0,1834.55,181620.45,2025-12-05 00:00:00,งานเดือน 10,2512-002
2025-10-31 00:00:00,2510-004,Homepro BH,297045,0,2970.4500000000003,294074.55,,,2512-002
2025-10-31 00:00:00,2510-011,Homepro W2 ย้ายสาขา,18967,0,189.67000000000002,18777.33,,,2512-002
,,ค่าเคลมของเสียหาย 2/10/25 วีระ,-1454.13,0,0,-1454.13,,,
,,ค่าเคลมของเสียหาย 14/10/25 เทียนชัย,-967.5,0,0,-967.5,,,
,,รวมเป็นเงิน,639516.37,0,6419.380000000001,633096.99,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-12-02 00:00:00,2511-005,DHL นีเวียร์,430575,0,4305.75,426269.25,,26/10 - 25/11,2601-007
2025-12-02 00:00:00,2511-006,DHL เฮนเคล+ชบา,22905.78,0,229.0578,22676.7222,,1-30/11,2601-008
2025-12-09 00:00:00,2511-011,DHL บิ๊กซี BPD,87085.92,0,870.8592,86215.06079999999,,1-30/11,2602-003
2025-12-09 00:00:00,2511-012,DHL บิ๊กซี XD,1171283.63,0,11712.836299999999,1159570.7936999998,2025-12-30 00:00:00,1-30/11,2602-004
2025-12-09 00:00:00,2511-013,DHL บิ๊กซี TB,157580.12,0,1575.8011999999999,156004.3188,,1-30/11,2602-005
2025-12-09 00:00:00,2511-014,DHL บิ๊กซี SRH,5495.57,0,54.9557,5440.614299999999,,1-30/11,2602-006
2025-12-15 00:00:00,2511-015,DHL บิ๊กซี SRH,25182.89,,251.8289,24931.0611,,เพิ่มเติมจาก 2511-014,2602-009
2025-12-01 00:00:00,2511-010,DHL TOPS,70073.93,0,700.7393,69373.19069999999,,,2601-006
,ค่าเคลม 1/7,"ค่าเคลมของเสียหาย 23/11/24 สมนึก (700,000)",-100000,,0,-100000,,,
,ค่าผ่อนรถ 30/35,,-80000,0,0,-80000,,,
,,รวมเป็นเงิน,1790182.84,0,19701.8284,1770481.0115999999,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-12-08 00:00:00,DOS2511-001,DHL OATSIDE,70200,0,702,69498,,,2601-011
,,DHL OATSIDE คชจ,21891.36,0,0,21891.36,,,
2025-12-03 00:00:00,DL2511-001,DHL CONTINENTAL,27200,0,272,26928,,,2601-009
2025-12-08 00:00:00,2511-007,DHL CHEVROLET,28950,0,289.5,28660.5,,,2601-010
,,รวมเป็นเงิน,148241.36,0,1263.5,146977.86,,,
