รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน กุมภาพันธ์ 2569,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-02-02 00:00:00,2602-001,เสาไห้,33275,0,1663.75,31611.25,2026-02-06 00:00:00,ค่าเช่า 1-28/2/69,2602-001
2026-01-31 00:00:00,2601-007,ยูเซ็น,23111.29,0,231.11290000000002,22880.1771,2026-02-21 00:00:00,งานเดือน 1,2602-025
2025-12-15 00:00:00,2512-005,NIPPON 6W,22000,0,220,21780,2026-02-27 00:00:00,,2602-042
,,รวมเป็นเงิน,78386.29000000001,0,2114.8629,76271.4271,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-12-20 00:00:00,2512-002,Homepro W1,110967,0,1109.67,109857.33,,,2602-002
2025-12-31 00:00:00,2512-003,Homepro W2,92349,0,923.49,91425.51,2026-02-11 00:00:00,งานเดือน 12,2602-002
2025-12-31 00:00:00,2512-004,Homepro BH,153168,0,1531.68,151636.32,พุธที่2ของเดือน,,2602-002
,,ค่าเคลมของเสียหาย 19/12/25 ธัชชนพล,-2757.02,0,0,-2757.02,,,
,,รวมเป็นเงิน,353726.98,0,3564.84,350162.14,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-02-04 00:00:00,2601-005,DHL นีเวียร์,383022,0,3830.2200000000003,379191.78,,26/12 - 25/1,2603-010
2026-02-04 00:00:00,2601-012,DHL เฮนเคล,1750,0,17.5,1732.5,,1-31/1,2603-009
2026-02-09 00:00:00,2601-014,DHL บิ๊กซี BPD,182654.32,0,1826.5432,180827.7768,,1-31/1,2604-003
2026-02-09 00:00:00,2601-013,DHL บิ๊กซี XD,940683.95,0,9406.8395,931277.1105,2026-02-28 00:00:00,1-31/1,2604-004
2026-02-09 00:00:00,2601-015,DHL บิ๊กซี TB,170675.72,0,1706.7572,168968.9628,,1-31/1,2604-005
2026-02-03 00:00:00,2601-009,DHL TOPS,33772.12,0,337.7212,33434.3988,,1-31/12,2603-008
2026-01-07 00:00:00,2512-013,DHL โจตัน,42500,0,425,42075,,1-31/12,2602-013
,,ค่าปรับคืนเอกสารนีเวียช้า 25/12/25 นิวัติ,-400,0,0,-400,,,
,,ค่าปรับคืนเอกสารนีเวียช้า 5/1/26 วัชร์นล,-600,0,0,-600,,,
,ค่าเคลม 2/7,"ค่าเคลมของเสียหาย 23/11/24 สมนึก (700,000)",-100000,0,0,-100000,,,
,ค่าเคลม 3/7,"ค่าเคลมของเสียหาย 23/11/24 สมนึก (700,000)",-100000,0,0,-100000,,,
,ค่าผ่อนรถ 32/35,,-64000,0,0,-64000,,,
,,ค่ายางหาง 70-8275,-2709.47,0,0,-2709.47,,,
,,ค่ายางหาง 70-8326,-2815.33,0,0,-2815.33,,,
,,รวมเป็นเงิน,1484533.31,0,17550.5811,1466982.7289,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-29 00:00:00,DL2601-001,DHL CONTINENTAL,81600,0,816,80784,,1-31/1,2603-007
2026-02-06 00:00:00,2601-006,DHL CHEVROLET,25350,0,253.5,25096.5,2026-02-28 00:00:00,1-31/1,2603-011
,,รวมเป็นเงิน,106950,0,1069.5,105880.5,,,
,,,,,,,,,
,,,,,,,,,
(KLN) CREDIT 30 DAYS // รอบ 26-25//MCL 01013423593,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-08 00:00:00,IV2601-008,TE CONNECTIVITY,2400,0,24,2376,,,2602-040
2026-01-08 00:00:00,IV2601-010,TE CONNECTIVITY,2400,0,24,2376,,,2602-040
,,รวมเป็นเงิน,4800,0,48,4752,,,
,,,,,,,,,
,,,,,,,,,
(WONDOR) CREDIT 30 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-05 00:00:00,2512-008,WONDOR,25000,0,250,24750,2026-02-10 00:00:00,1-31/12,2602-021
2026-01-05 00:00:00,2512-009,WONDOR,5000,0,50,4950,,1-31/12,2602-021
2026-01-05 00:00:00,2512-010,WONDOR,7000,0,70,6930,,1-31/12,2602-021
,,รวมเป็นเงิน,37000,0,370,36630,,,
