รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน มกราคม 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-01-06 00:00:00,2501-001,เสาไห้,33275,0,1663.75,31611.25,2025-01-06 00:00:00,ค่าเช่า 1-31/1/68,2501-001
2024-12-31 00:00:00,2412-005,ยูเซ็น,71256.71,0,712.5671000000001,70544.1429,2025-01-21 00:00:00,งานเดือน 12,2501-014
,,รวมเป็นเงิน,104531.71,0,2376.3171,102155.3929,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2024-11-19 00:00:00,2411-002,Homepro W1,192103,0,1921.03,190181.97,,,2501-002
2024-11-30 00:00:00,2411-003,Homepro W2,188949,0,1889.49,187059.51,2025-01-05 00:00:00,งานเดือน 11,2501-002
2024-11-30 00:00:00,2411-004,Homepro BH,353192,0,3531.92,349660.08,,,2501-002
2024-11-30 00:00:00,2411-009,Homepro W2 ย้ายสาขา,13278,0,132.78,13145.22,,,2501-002
,,ค่าเคลมของเสียหาย 29/11/24  วิรัช,-475.27,0,0,-475.27,,,
,,ค่าเคลมของเสียหาย 19/12/24  มุ่งหมาย,-1148.62,0,0,-1148.62,,,
,,รวมเป็นเงิน,745898.11,0,7475.22,738422.89,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-01-08 00:00:00,2412-006,DHL นีเวียร์,281690,0,2816.9,278873.1,,26/11 - 25/12,2502-009
2025-01-06 00:00:00,2412-007,DHL เฮนเคล+ชบา,39267.1,0,392.671,38874.429,,1-31/12,2502-007
2025-01-10 00:00:00,2412-009,DHL บิ๊กซี WN,166984.44,0,1669.8444,165314.5956,,1-31/12,2503-003
2025-01-10 00:00:00,2412-010,DHL บิ๊กซี XD,1986268.7,0,19862.687,1966406.013,2025-01-30 00:00:00,1-31/12,2503-004
2025-01-10 00:00:00,2412-011,DHL บิ๊กซี TB,138134.85,0,1381.3485,136753.5015,,1-31/12,2503-005
2025-01-07 00:00:00,2412-008,DHL Tops,292426.71,0,2924.2671000000005,289502.4429,,,2502-008
,ค่าผ่อนรถ 19/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,2808771.8,0,29047.718000000004,2779724.0820000004,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2024-12-24 00:00:00,DL2412-001,DHL CONTINENTAL,6800,0,68,6732,,,2502-010
,,รวมเป็นเงิน,6800,0,68,6732,,,
