รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน กรกฎาคม 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-07-02 00:00:00,2507-001,เสาไห้,33275,0,1663.75,31611.25,2025-07-06 00:00:00,ค่าเช่า 1-30/7/68,2507-001
2025-06-30 00:00:00,2506-010,ยูเซ็น,16861.4,0,168.614,16692.786,2025-07-21 00:00:00,งานเดือน 6,2507-014
2025-05-27 00:00:00,2505-007,NIPPON 6W,27500,0,275,27225,2025-07-20 00:00:00,,2507-016
2025-06-27 00:00:00,,งานญี่ปุ้น NEW DEK,4500,,0,4500,,,2025-07-02 00:00:00
2025-07-05 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,2025-07-05 00:00:00
2025-07-08 00:00:00,,เฮียเกรียง,2800,,0,2800,,,2025-07-08 00:00:00
2025-07-25 00:00:00,,เฮียเกรียง,5600,,0,5600,,,2025-07-25 00:00:00
,,รวมเป็นเงิน,93336.4,0,2107.364,82829.036,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-05-20 00:00:00,2505-002,Homepro W1,99738,0,997.38,98740.62,,,2507-002
2025-05-31 00:00:00,2505-003,Homepro W2,147427,0,1474.27,145952.73,2025-07-05 00:00:00,งานเดือน 5,2507-002
2025-05-31 00:00:00,2505-004,Homepro BH+IMPORT,93492,0,934.9200000000001,92557.08,,ค่าขนส่งตู้เปิด,2507-002
2025-05-31 00:00:00,2505-009,Homepro W2 ย้ายสาขา,2550,0,25.5,2524.5,,,2507-002
2025-05-31 00:00:00,2505-010,Homepro W2 EVENT,3910,0,39.1,3870.9,,สำรองจ่ายตู้เปิด,2507-002
,,ค่าเคลมของเสียหาย 6/6/25 นิวิฐ,-7006.49,0,0,-7006.49,,,
,,ค่าเคลมของเสียหาย 12/6/25 นิวิฐ,-11842.1,0,0,-11842.1,,,
2025-07-02 00:00:00,2506-013,สบายดี ล่วงเวลา,300,0,0,300,,,2025-07-03 00:00:00
,2506-013AD,สบายดี คชจ,4962,0,0,4962,,,2025-07-03 00:00:00
,,รวมเป็นเงิน,333530.41000000003,0,3471.17,330059.24000000005,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-07-04 00:00:00,2506-005,DHL นีเวียร์,466816,0,4668.16,462147.84,,26/5 - 25/6,2508-011
2025-07-01 00:00:00,2506-006,DHL เฮนเคล+ชบา,39971.4,0,399.714,39571.686,,1-30/6,2508-007
2025-07-08 00:00:00,2506-015,DHL บิ๊กซี WN,118014.93,0,1180.1493,116834.78069999999,,1-30/6,2509-003
2025-07-08 00:00:00,2506-016,DHL บิ๊กซี XD,1097381.55,0,10973.8155,1086407.7345,2025-07-30 00:00:00,1-30/6,2509-004
2025-07-08 00:00:00,2506-017,DHL บิ๊กซี TB,238247.29,0,2382.4729,235864.81710000001,,1-30/6,2509-005
2025-07-02 00:00:00,2506-012,DHL Tops,13615.98,0,136.1598,13479.8202,,1-30/6,2508-008
,ค่าผ่อนรถ 25/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,1878047.1500000001,0,19740.471500000003,1858306.6785,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-07-02 00:00:00,DS2506-001,DHL OATSIDE,41600,0,416,41184,,,2508-010
,,DHL OATSIDE คชจ,15771.95,0,0,15771.95,,,
2025-07-01 00:00:00,DL2506-001,DHL CONTINENTAL,102000,0,1020,100980,,,2508-009
2025-07-02 00:00:00,2506-009,DHL CARRIER 6W,21300,0,213,21087,,26/5-25/6,2508-010
2025-07-08 00:00:00,2506-011,DHL CHEVROLET 4W,16800,0,168,16632,,11/6-30/6,2508-012
2025-06-03 00:00:00,CDIV2505-001,DHL CARRIER,51750,0,517.5,51232.5,,รวมอินวอยเดือน 7 ทีเดียว CDIV2507-001,2507-013
,,DHL CARRIER คชจ,6208.3,0,0,6208.3,,รวมอินวอยเดือน 7 ทีเดียว CDIV2507-001,
2025-07-14 00:00:00,CDIV2506-001,DHL CARRIER,27600,0,276,27324,,รวมอินวอยเดือน 7 ทีเดียว CDIV2507-001,2508-013
,,DHL CARRIER คชจ,13560.1,0,0,13560.1,,รวมอินวอยเดือน 7 ทีเดียว CDIV2507-001,
,,รวมเป็นเงิน,296590.35,0,2610.5,293979.85,,,
