รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน มิถุนายน 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-06-04 00:00:00,2506-001,เสาไห้,33275,0,1663.75,31611.25,2025-06-06 00:00:00,ค่าเช่า 1-30/6/68,2506-001
2025-05-31 00:00:00,2505-008,ยูเซ็น,25167.24,0,251.6724,24915.567600000002,2025-06-21 00:00:00,งานเดือน 5,2506-017
2025-06-27 00:00:00,,งานญี่ปุ้น NEW DEK,4500,,0,4500,,,
,,รวมเป็นเงิน,62942.240000000005,0,1915.4224,61026.8176,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-04-20 00:00:00,2504-002,Homepro W1,134753,0,1347.53,133405.47,,,2506-002
2025-04-30 00:00:00,2504-003,Homepro W2,174461,0,1744.6100000000001,172716.39,2025-06-05 00:00:00,งานเดือน 4,2506-002
2025-04-30 00:00:00,2504-004,Homepro BH,87401,0,874.01,86526.99,,,2506-002
2025-04-30 00:00:00,2504-009,Homepro W2 ย้ายสาขา,3000,0,30,2970,,,2506-002
,,รวมเป็นเงิน,399615,0,3996.1500000000005,395618.85,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-06-02 00:00:00,2505-005,DHL นีเวียร์,467286,0,4672.86,462613.14,,26/4 - 25/5,2507-007
2025-06-09 00:00:00,2505-006,DHL เฮนเคล+ชบา+บอร์เนียล,38181.18,0,381.8118,37799.3682,,1-31/5,2507-009
2025-06-09 00:00:00,2505-011,DHL บิ๊กซี WN,157253.43,0,1572.5343,155680.8957,,1-31/5,2508-003
2025-06-09 00:00:00,2505-012,DHL บิ๊กซี XD,1352247.92,0,13522.4792,1338725.4408,2025-06-30 00:00:00,1-31/5,2508-004
2025-06-09 00:00:00,2505-013,DHL บิ๊กซี TB,118945.05,0,1189.4505000000001,117755.5995,,1-31/5,2508-005
,ค่าผ่อนรถ 24/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,2037913.5799999996,0,21339.1358,2016574.4441999998,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-06-03 00:00:00,DS2505-001,DHL OATSIDE,57200,0,572,56628,,,2507-010
,,DHL OATSIDE คชจ,17371.14,0,0,17371.14,,,
2025-06-03 00:00:00,DL2505-001,DHL CONTINENTAL,88400,0,884,87516,,,2507-011
2025-06-03 00:00:00,CDIV2505-001,DHL CARRIER,51750,0,517.5,51232.5,,,
,,DHL CARRIER คชจ,6208.3,0,0,6208.3,,,
2025-06-12 00:00:00,2506-007,DHL CHEVROLET 4W,6000,0,60,5940,,11/5-10/6,2507-012
,,รวมเป็นเงิน,226929.44,0,2033.5,224895.94,,,
