รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน มีนาคม 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-03-03 00:00:00,2503-001,เสาไห้,33275,0,1663.75,31611.25,2025-03-06 00:00:00,ค่าเช่า 1-31/3/68,2503-001
2025-02-28 00:00:00,2502-005,ยูเซ็น,79730.01,0,797.3000999999999,78932.7099,2025-03-21 00:00:00,งานเดือน 2,2503-013
2025-02-28 00:00:00,2502-009,ประพาส,11600,0,116,11484,,,2503-014
2025-01-31 00:00:00,2501-008,ประพาส,8700,0,87,8613,,,2503-011
2025-03-04 00:00:00,,เฮียเกรียง,5600,0,0,5600,,,
2025-03-06 00:00:00,,เฮียเกรียง,8400,0,0,8400,,,
2025-03-10 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,
2025-03-13 00:00:00,,เฮียเกรียง,5600,0,0,5600,,,
2025-03-16 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,
2025-03-18 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,
2025-03-25 00:00:00,,เฮียเกรียง,5600,0,0,5600,,,
,,รวมเป็นเงิน,166905.01,0,2664.0501,164240.95990000002,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-01-22 00:00:00,2501-002,Homepro W1,115893,0,1158.93,114734.07,,,2503-002
2025-01-31 00:00:00,2501-003,Homepro W2,214196,0,2141.96,212054.04,2025-03-05 00:00:00,งานเดือน 1,2503-002
2025-01-31 00:00:00,2501-004,Homepro BH,202390,0,2023.9,200366.1,,,2503-002
2025-01-31 00:00:00,2501-010,Homepro W2 EVENT,3328,0,33.28,3294.72,,,2503-002
,,ค่าเคลมของเสียหาย 14/2/25 มุ่งหมาย,-3060,0,0,-3060,,,
,,ค่าเคลมของเสียหาย 14/2/25 พิทยา,-1395.16,0,0,-1395.16,,,
,,ค่าบัญชีรายปี,-1872.5,,,-1872.5,,,
,,รวมเป็นเงิน,529479.34,0,5358.070000000001,524121.2699999999,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-03-03 00:00:00,2502-006,DHL นีเวียร์,331422,0,3314.2200000000003,328107.78,,26/1 - 25/2,2504-007
2025-03-05 00:00:00,2502-007,DHL เฮนเคล+ชบา,38662.65,0,386.6265,38276.0235,,1-28/2,2504-007
2025-03-10 00:00:00,2502-008,DHL บิ๊กซี WN,90756.67,0,907.5667,89849.1033,,1-28/3,2505-003
2025-03-10 00:00:00,2502-012,DHL บิ๊กซี XD,1514146.86,0,15141.468600000002,1499005.3914,2025-03-31 00:00:00,1-28/4,2505-004
2025-03-10 00:00:00,2502-013,DHL บิ๊กซี TB,189188.76,0,1891.8876,187296.87240000002,,1-28/5,2505-005
,ค่าผ่อนรถ 21/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,2068176.9400000004,0,21641.769400000005,2046535.1706000003,,,
,,,,,,,,,
,,,,,,,,,
(TRANSPO) CREDIT 30 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-02-26 00:00:00,TLIV2502-001,TRANSPO ค่าขนส่ง,9000,0,90,8910,,,2025-04-08 00:00:00
,TLIV2502-001AD,TRANSPO สำรองจ่าย,215,0,0,215,,,2025-03-12 00:00:00
2025-02-26 00:00:00,TLIV2502-002,TRANSPO ค่าขนส่ง,8000,0,80,7920,,,2025-04-08 00:00:00
,,รวมเป็นเงิน,17215,0,170,17045,,,
