รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน พฤษภาคม 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-05-02 00:00:00,2505-001,เสาไห้,33275,0,1663.75,31611.25,2025-05-06 00:00:00,ค่าเช่า 1-31/5/68,2505-001
2025-04-30 00:00:00,2504-005,ยูเซ็น,28918.93,0,289.1893,28629.740700000002,2025-05-21 00:00:00,งานเดือน 4 //กสิกร X624228,2505-014
1900-01-20 00:00:00,,งานนอกสุขสวัสดิ์,6000,0,0,6000,,,2025-05-20 00:00:00
2025-05-24 00:00:00,,งานนอกสุขสวัสดิ์,6000,0,0,6000,,,2025-05-24 00:00:00
,,รวมเป็นเงิน,74193.93,0,1952.9393,72240.9907,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-03-20 00:00:00,2503-002,Homepro W1,185436,0,1854.3600000000001,183581.64,,,2505-002
2025-03-31 00:00:00,2503-003,Homepro W2,162285,0,1622.8500000000001,160662.15,2025-05-05 00:00:00,งานเดือน 3,2505-002
2025-03-31 00:00:00,2503-004,Homepro BH,263636,0,2636.36,260999.64,,,2505-002
2025-03-31 00:00:00,2503-009,Homepro W2 ย้ายสาขา,4550,0,45.5,4504.5,,,2505-002
,,ค่าเคลมของเสียหาย 25/4/25 นิวิฐ,-2312.62,0,0,-2312.62,,,
,,ค่าเคลมของเสียหาย 25/4/25 ติ๋ว,-1028.06,0,0,-1028.06,,,
,,รวมเป็นเงิน,612566.32,0,6159.07,606407.25,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-05-06 00:00:00,2504-006,DHL นีเวียร์,376477.4,0,3764.7740000000003,372712.62600000005,,26/3 - 25/4,2506-007
2025-05-06 00:00:00,2504-007,DHL เฮนเคล+ชบา,24946.7,0,249.467,24697.233,,1-30/4,2506-008
2025-05-08 00:00:00,2504-010,DHL บิ๊กซี WN,132710.79,0,1327.1079000000002,131383.6821,,1-30/4,2507-003
2025-05-08 00:00:00,2504-011,DHL บิ๊กซี XD,1360402.1,0,13604.021,1346798.0790000001,2025-05-30 00:00:00,1-30/4,2507-004
2025-05-08 00:00:00,2504-012,DHL บิ๊กซี TB,245451.72,0,2454.5172000000002,242997.2028,,1-30/4,2507-005
2025-05-04 00:00:00,2504-008,DHL Tops,124252.82,0,1242.5282000000002,123010.2918,,1-30/4,2506-009
,ค่าผ่อนรถ 23/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,2168241.5300000003,0,22642.4153,2145599.1147,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-05-05 00:00:00,DS2504-001,DHL OATSIDE,15600,0,156,15444,,,2506-010
,,DHL OATSIDE คชจ,6115.18,0,0,6115.18,,,
2025-05-02 00:00:00,DL2504-001,DHL CONTINENTAL,81600,0,816,80784,,,2506-012
,,รวมเป็นเงิน,103315.18,0,972,102343.18,,,
