รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน พฤศจิกายน 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-11-03 00:00:00,2511-001,เสาไห้,33275,0,1663.75,31611.25,2025-11-06 00:00:00,ค่าเช่า 1-30/11/68,2511-001
2025-10-31 00:00:00,2510-008,ยูเซ็น,13580.64,0,135.8064,13444.8336,2025-11-21 00:00:00,งานเดือน 10,2511-028
2025-11-05 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,2025-11-25 00:00:00
2025-09-03 00:00:00,2509-009,NIPPON 6W,11000,0,110,10890,2025-11-20 00:00:00,,2511-035
2025-09-22 00:00:00,2509-011,NIPPON 6W,27500,0,275,27225,2025-11-20 00:00:00,,2511-035
2025-09-23 00:00:00,2509-012,ฟุคุยะมะ (มาเล),71000,0,710,70290,,,2511-031
,,รวมเป็นเงิน,159155.64,0,2894.5564,156261.0836,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-09-20 00:00:00,2509-002,Homepro W1,147648,0,1476.48,146171.52,,,2511-002
2025-09-30 00:00:00,2509-003,Homepro W2,168146,0,1681.46,166464.54,2025-11-05 00:00:00,งานเดือน 9,2511-002
2025-09-30 00:00:00,2509-004,Homepro BH,281287,0,2812.87,278474.13,,,2511-002
2025-09-30 00:00:00,2509-013,Homepro W2 EVENT,1579,0,15.790000000000001,1563.21,,,2511-002
2025-09-30 00:00:00,2509-014,Homepro W2 ย้ายสาขา,1187,0,11.870000000000001,1175.13,,,2511-002
,,ค่าเคลมของเสียหาย 10/9/25 ธัชชนพล,-14674.9,0,0,-14674.9,,,
,,รวมเป็นเงิน,585172.1,0,5998.469999999999,579173.6299999999,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-11-03 00:00:00,2510-005,DHL นีเวียร์,377939,0,3779.39,374159.61,,26/9 - 25/10,2512-007
2025-11-03 00:00:00,2510-006,DHL เฮนเคล+ชบา,26496.2,0,264.962,26231.238,,1-30/10,2512-006
2025-11-10 00:00:00,2510-012,DHL บิ๊กซี BPD,60637.79,0,606.3779000000001,60031.4121,,1-30/10,2601-003
2025-11-10 00:00:00,2510-013,DHL บิ๊กซี XD,1103580.11,0,11035.8011,1092544.3089,2025-11-30 00:00:00,1-30/10,2601-004
2025-11-10 00:00:00,2510-014,DHL บิ๊กซี TB,139419.9,0,1394.199,138025.701,,1-30/10,2601-005
,,ค่าเคลมของเสียหาย 28/8/25 เรวัตร,-95.5,0,0,-95.5,,,
,ค่าผ่อนรถ 29/35,,-80000,0,0,-80000,,,
,,รวมเป็นเงิน,1627977.5,0,17080.73,1610896.77,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-11-06 00:00:00,DOS2510-001,DHL OATSIDE,88400,0,884,87516,,,2512-012
,,DHL OATSIDE คชจ,36246.25,0,0,36246.25,,,
2025-11-05 00:00:00,DL2510-001,DHL CONTINENTAL,47600,0,476,47124,,,2512-009
2025-11-05 00:00:00,DL2510-002,DHL CONTINENTAL,12000,0,120,11880,,1-30/10,2512-010
2025-11-06 00:00:00,DS2510-001,DHL C&D,6800,0,68,6732,,,2512-011
2025-11-06 00:00:00,2510-007,DHL CHEVROLET,31500,0,315,31185,,1-30/10,2512-008
,,รวมเป็นเงิน,222546.25,0,1863,220683.25,,,
