รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน ตุลาคม 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-10-02 00:00:00,2510-001,เสาไห้,33275,0,1663.75,31611.25,2025-10-06 00:00:00,ค่าเช่า 1-30/10/68,2510-001
2025-09-30 00:00:00,2509-008,ยูเซ็น,22423.7,0,224.23700000000002,22199.463,2025-10-21 00:00:00,งานเดือน 9,2510-022
2025-10-06 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,2025-10-06 00:00:00
2025-10-30 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,2025-10-30 00:00:00
2025-10-20 00:00:00,2510-010,งานคุณอุ๊ พระโขนง,7000,0,70,6930,,,2510-023
,,รวมเป็นเงิน,68298.7,0,1957.987,66340.713,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-08-20 00:00:00,2508-002,Homepro W1,152714,0,1527.14,151186.86,,,2510-002
2025-08-31 00:00:00,2508-003,Homepro W2,155534,0,1555.3400000000001,153978.66,2025-10-05 00:00:00,งานเดือน 8,2510-002
2025-08-31 00:00:00,2508-004,Homepro BH,166584,0,1665.8400000000001,164918.16,,,2510-002
2025-08-31 00:00:00,2508-011,Homepro W2 ย้ายสาขา,6329,0,63.29,6265.71,,,2510-002
,,ค่าเคลมของเสียหาย 28/6/25 เทียนชัย,-1032.72,0,0,-1032.72,,,
,,รวมเป็นเงิน,480128.28,0,4811.610000000001,475316.6700000001,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-10-01 00:00:00,2509-005,DHL นีเวียร์,341230,0,3412.3,337817.7,,26/8 - 25/9,2511-007
2025-10-01 00:00:00,2509-006,DHL เฮนเคล+ชบา,48194.2,0,481.942,47712.257999999994,,1-30/9,2511-008
2025-10-08 00:00:00,2509-015,DHL บิ๊กซี BPD,84155.71,0,841.5571000000001,83314.1529,,1-30/9,2512-003
2025-10-08 00:00:00,2509-016,DHL บิ๊กซี XD,963097.1,0,9630.971,953466.129,2025-10-30 00:00:00,1-30/9,2512-004
2025-10-08 00:00:00,2509-017,DHL บิ๊กซี TB,188403.41,0,1884.0341,186519.3759,,1-30/9,2512-005
2025-09-29 00:00:00,2509-010,DHL MARS,160558.75,0,1605.5875,158953.1625,,31/8 - 4/9,2511-006
,,ค่าเคลมของเสียหาย 8/9/25 สมัย,-392.69,0,0,-392.69,,,
,ค่าผ่อนรถ 28/35,,-80000,0,0,-80000,,,
,,รวมเป็นเงิน,1705246.48,0,17856.3917,1687390.0883000002,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-10-03 00:00:00,DL2509-001,DHL CONTINENTAL,50600,0,506,50094,,1-30/9,2511-009
2025-10-06 00:00:00,2509-007,DHL CHEVROLET,27600,0,276,27324,,1/9-30/9,2511-010
,,รวมเป็นเงิน,78200,0,782,77418,,,
,,,,,,,,,
,,,,,,,,,
(KTL) CREDIT 30 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-09-01 00:00:00,IV2508-009,SUNDELL,4500,0,45,4455,,,2510-013
,IV2508-009AD,SUNDELL คชจ,107,0,0,107,,,
,,รวมเป็นเงิน,4607,0,45,4562,,,
