รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน กันยายน 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-09-02 00:00:00,2509-001,เสาไห้,33275,0,1663.75,31611.25,2025-09-06 00:00:00,ค่าเช่า 1-30/9/68,2509-001
2025-08-31 00:00:00,2508-010,ยูเซ็น,33052.61,0,330.5261,32722.0839,2025-09-21 00:00:00,งานเดือน 8,2509-018
,,ยูเซ็น ค่ายก,297,0,2.97,294.03,,,2509-018
2025-07-09 00:00:00,2507-008,NIPPON 6W,8700,0,87,8613,2025-09-20 00:00:00,,2509-024
2025-07-21 00:00:00,2507-009,NIPPON 6W,3450,0,34.5,3415.5,2025-09-20 00:00:00,,2509-024
2025-07-29 00:00:00,2507-010,NIPPON 6W,6900,0,69,6831,2025-09-20 00:00:00,,2509-024
2025-07-29 00:00:00,2507-011,NIPPON 6W,16500,0,165,16335,2025-09-20 00:00:00,,2509-024
,,รวมเป็นเงิน,102174.61,0,2352.7461000000003,99821.8639,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-07-20 00:00:00,2507-002,Homepro W1,64199,0,641.99,63557.01,,,2509-002
2025-07-31 00:00:00,2507-003,Homepro W2,109719,0,1097.19,108621.81,2025-09-05 00:00:00,งานเดือน 7,2509-002
2025-07-31 00:00:00,2507-004,Homepro BH,272914,0,2729.14,270184.86,,ค่าขนส่งตู้เปิด,2509-002
,,รวมเป็นเงิน,446832,0,4468.32,442363.68,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-09-03 00:00:00,2508-005,DHL นีเวียร์,368337,0,3683.37,364653.63,,26/7 - 25/8,2510-009
2025-09-03 00:00:00,2508-006,DHL เฮนเคล+ชบา,22337.8,0,223.378,22114.422,,1-30/8,2510-008
2025-09-09 00:00:00,2508-013,DHL บิ๊กซี BPD,135912.37,0,1359.1236999999999,134553.2463,,1-30/8,2511-003
2025-09-09 00:00:00,2508-014,DHL บิ๊กซี XD,790055.88,0,7900.5588,782155.3212,2025-09-30 00:00:00,1-30/8,2511-004
2025-09-09 00:00:00,2508-015,DHL บิ๊กซี TB,300143.2,0,3001.4320000000002,297141.76800000004,,1-30/8,2511-005
2025-09-10 00:00:00,2508-012,DHL MARS,188585,0,1885.8500000000001,186699.15,,25/8-30/8,2510-011
,ค่าผ่อนรถ 27/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,1709371.2499999998,0,18053.712499999998,1691317.5375,,,
,,,,,,,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-09-02 00:00:00,DL2508-001,DHL CONTINENTAL,70500,0,705,69795,,,2510-007
2025-09-05 00:00:00,2508-007,DHL CHEVROLET,24150,0,241.5,23908.5,,1/8-30/8,2510-010
,,รวมเป็นเงิน,94650,0,946.5,93703.5,,,
,,,,,,,,,
,,,,,,,,,
(KTL) CREDIT 30 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-09-01 00:00:00,IV2508-009,SUNDELL,4500,0,45,4455,,,
,IV2508-009AD,SUNDELL คชจ,107,0,0,107,,,
,,รวมเป็นเงิน,4607,0,45,4562,,,
