Dest_In_date,Plate,Site,Matched_trips,Trip_rate_baht,Base_line_baht,Fifty_pct_baht,Return_trip_baht,Customer_day_baht
2026-04-22 00:00:00,72-1217,LCB,0,6546.17,0.00,0.00,3273.00,3273.00
2026-05-01 00:00:00,71-5042,BigC,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-01 00:00:00,72-1217,LCB,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-02 00:00:00,71-5042,BigC,0,7432.03,0.00,3716.00,0.00,3716.00
2026-05-02 00:00:00,71-6802,LCB,1,7432.03,7432.03,7432.00,0.00,14864.03
2026-05-02 00:00:00,72-1217,LCB,0,7432.03,0.00,3716.00,0.00,3716.00
2026-05-02 00:00:00,72-1218,LCB,0,7432.03,0.00,3716.00,0.00,3716.00
2026-05-03 00:00:00,71-5042,BigC,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-03 00:00:00,72-1218,LCB,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-04 00:00:00,71-5042,BigC,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-04 00:00:00,71-6802,LCB,2,7432.03,14864.06,7432.00,0.00,22296.06
2026-05-04 00:00:00,72-1217,LCB,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-04 00:00:00,72-1218,LCB,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-05 00:00:00,72-1217,LCB,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-05 00:00:00,72-1218,LCB,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-06 00:00:00,72-1217,LCB,2,7432.03,14864.06,3716.00,0.00,18580.06
2026-05-06 00:00:00,72-1218,LCB,2,7432.03,14864.06,3716.00,0.00,18580.06
2026-05-07 00:00:00,71-5041,BigC,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-07 00:00:00,71-8009,BigC,1,7432.03,7432.03,3716.00,0.00,11148.03
2026-05-07 00:00:00,72-1217,LCB,2,7432.03,14864.06,0.00,0.00,14864.06
2026-05-07 00:00:00,72-1218,LCB,2,7432.03,14864.06,3716.00,0.00,18580.06
2026-05-08 00:00:00,71-8009,BigC,1,7322.20,7322.20,3661.00,0.00,10983.20
2026-05-08 00:00:00,72-1217,LCB,2,7322.20,14644.40,0.00,0.00,14644.40
2026-05-08 00:00:00,72-1218,LCB,1,7322.20,7322.20,0.00,0.00,7322.20
2026-05-09 00:00:00,71-5041,BigC,1,7322.20,7322.20,3661.00,0.00,10983.20
2026-05-09 00:00:00,71-8009,BigC,1,7322.20,7322.20,3661.00,0.00,10983.20
2026-05-09 00:00:00,72-1217,LCB,1,7322.20,7322.20,0.00,0.00,7322.20
2026-05-09 00:00:00,72-1218,LCB,2,7322.20,14644.40,3661.00,0.00,18305.40
2026-05-10 00:00:00,71-5041,BigC,2,7322.20,14644.40,7322.00,0.00,21966.40
2026-05-10 00:00:00,71-8009,BigC,1,7322.20,7322.20,0.00,0.00,7322.20
2026-05-10 00:00:00,72-1217,LCB,2,7322.20,14644.40,7322.00,0.00,21966.40
2026-05-11 00:00:00,71-5041,BigC,1,7322.20,7322.20,0.00,0.00,7322.20
2026-05-11 00:00:00,71-8009,BigC,2,7322.20,14644.40,0.00,0.00,14644.40
2026-05-11 00:00:00,72-1217,LCB,1,7322.20,7322.20,0.00,0.00,7322.20
2026-05-12 00:00:00,71-5041,BigC,2,7322.20,14644.40,3661.00,0.00,18305.40
2026-05-12 00:00:00,71-8009,BigC,1,7322.20,7322.20,0.00,0.00,7322.20
2026-05-12 00:00:00,72-1217,LCB,2,7322.20,14644.40,0.00,0.00,14644.40
2026-05-13 00:00:00,71-5041,BigC,1,7432.03,7432.03,0.00,0.00,7432.03
2026-05-13 00:00:00,71-8009,BigC,2,7432.03,14864.06,3716.00,0.00,18580.06
2026-05-13 00:00:00,72-1217,LCB,2,7432.03,14864.06,0.00,0.00,14864.06
2026-05-14 00:00:00,71-5041,BigC,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-14 00:00:00,71-8002,BigC,2,7543.52,15087.04,0.00,0.00,15087.04
2026-05-14 00:00:00,71-8009,BigC,2,7543.52,15087.04,3772.00,0.00,18859.04
2026-05-14 00:00:00,72-1217,LCB,2,7543.52,15087.04,3772.00,0.00,18859.04
2026-05-15 00:00:00,71-5041,BigC,1,7543.52,7543.52,3772.00,0.00,11315.52
2026-05-15 00:00:00,71-8002,BigC,2,7543.52,15087.04,0.00,0.00,15087.04
2026-05-15 00:00:00,72-1217,LCB,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-16 00:00:00,71-8002,BigC,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-16 00:00:00,72-1217,LCB,2,7543.52,15087.04,3772.00,0.00,18859.04
2026-05-17 00:00:00,71-8002,BigC,3,7543.52,22630.56,0.00,0.00,22630.56
2026-05-17 00:00:00,71-8005,BigC,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-17 00:00:00,72-1217,LCB,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-18 00:00:00,71-8002,BigC,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-18 00:00:00,71-8005,BigC,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-18 00:00:00,71-8009,BigC,1,7543.52,7543.52,3772.00,0.00,11315.52
2026-05-18 00:00:00,72-1217,LCB,1,7543.52,7543.52,0.00,0.00,7543.52
2026-05-19 00:00:00,71-8001,BigC,1,7656.67,7656.67,3828.00,0.00,11484.67
