Activity_Date,Plate,Site,Matched_Cycle_h,Matched_Origin_Wait_h,Matched_Dest_Wait_h,Matched_Travel_h,Unmatched_Origin_h,Unmatched_Dest_h,Adjusted_Origin_Wait_h,Adjusted_Dest_Wait_h,Combined_h(AdjustedWait+Travel),Gap_vs_24_h
2026-05-01,71-5042,BigC,8.57,5.4,1.25,1.92,0,0,5.4,1.25,8.57,15.43
2026-05-02,71-5042,BigC,0,0,0,0,3.5,9.54,3.5,9.54,13.04,10.96
2026-05-02,72-1217,LCB,23.21,1.61,19.9,1.7,0,0,1.61,19.9,23.21,0.79
2026-05-03,71-5042,BigC,12.24,7.63,2.16,2.45,0,0,7.63,2.16,12.24,11.76
2026-05-03,71-6802,LCB,26.68,12.58,12.24,1.86,5.35,0,17.93,12.24,32.03,-8.03
2026-05-03,72-1218,LCB,26.65,18.52,6.08,2.05,0,0,18.52,6.08,26.65,-2.65
2026-05-04,71-5042,BigC,7.85,5.22,0.82,1.81,0,0,5.22,0.82,7.85,16.15
2026-05-04,71-6802,LCB,14.58,6.09,6.86,1.63,0,0,6.09,6.86,14.58,9.42
2026-05-04,72-1217,LCB,37.14,34.14,0.74,2.26,0,0,34.14,0.74,37.14,-13.14
2026-05-04,72-1218,LCB,22.68,18.54,0.94,3.21,0,0,18.54,0.94,22.68,1.32
2026-05-05,71-6802,LCB,22.03,7.02,11.51,3.49,0,0,7.02,11.51,22.03,1.97
2026-05-05,72-1217,LCB,35.65,22.42,9.83,3.4,0,0,22.42,9.83,35.65,-11.65
2026-05-05,72-1218,LCB,32.19,18.19,8.39,5.62,0,0,18.19,8.39,32.19,-8.19
2026-05-06,72-1217,LCB,15.89,8.24,3.12,4.53,0,0,8.24,3.12,15.89,8.11
2026-05-06,72-1218,LCB,14.37,5.73,3.7,4.94,0,0,5.73,3.7,14.37,9.63
2026-05-07,71-8009,BigC,19.22,7.04,10.08,2.11,0,0,7.04,10.08,19.22,4.78
2026-05-07,72-1217,LCB,14.11,7.61,4.73,1.77,0,0,7.61,4.73,14.11,9.89
2026-05-07,72-1218,LCB,18.8,7.61,8.57,2.62,0,0,7.61,8.57,18.8,5.2
