Dest_In_date,Plate,Site,Fifty_kind,Trips_that_day,Auto_1trip_rule_Y/N,Override_action,Override_note,Window_Origin_In,Window_End,Trip_rate_baht,Surcharge_baht_50pct
2026-04-11 00:00:00,71-5041,BigC,downtime_origin_day,1,Y,,,2026-04-10,,6849.81,3425.00
2026-04-11 00:00:00,71-8683,LCB,downtime_origin_day,1,Y,,,2026-04-10,,6849.81,3425.00
2026-04-10 00:00:00,71-8684,LCB,downtime_origin_day,1,Y,,,2026-04-10,,7276.69,3638.00
2026-04-12 00:00:00,71-5041,BigC,downtime_origin_day,1,Y,,,2026-04-11,,7306.47,3653.00
2026-04-12 00:00:00,71-8002,BigC,downtime_origin_day,1,Y,,,2026-04-11,,7306.47,3653.00
2026-04-12 00:00:00,71-8003,BigC,downtime_origin_day,1,Y,,,2026-04-11,,7306.47,3653.00
2026-04-13 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-12,,7306.47,3653.00
2026-04-12 00:00:00,71-8684,LCB,downtime_origin_day,1,Y,,,2026-04-12,,7306.47,3653.00
2026-04-13 00:00:00,71-9629,LCB,downtime_origin_day,1,Y,,,2026-04-12,,7306.47,3653.00
2026-04-13 00:00:00,72-1217,LCB,downtime_origin_day,1,Y,,,2026-04-12,,7306.47,3653.00
2026-04-13 00:00:00,71-5041,BigC,downtime_origin_day,1,Y,,,2026-04-13,,7306.47,3653.00
2026-04-14 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-13,,7306.47,3653.00
2026-04-15 00:00:00,71-6802,LCB,downtime_origin_day,1,Y,,,2026-04-14,,7306.47,3653.00
2026-04-15 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-14,,7306.47,3653.00
2026-04-14 00:00:00,72-1220,LCB,downtime_origin_day,1,Y,,,2026-04-14,,7306.47,3653.00
2026-04-16 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-15,,6849.81,3425.00
2026-04-16 00:00:00,71-9629,LCB,downtime_origin_day,1,Y,,,2026-04-15,,6849.81,3425.00
2026-04-15 00:00:00,72-1220,LCB,downtime_origin_day,1,Y,,,2026-04-15,,7306.47,3653.00
2026-04-17 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-16,,6645.86,3323.00
2026-04-19 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-19,,6645.86,3323.00
2026-04-21 00:00:00,72-1217,LCB,downtime_origin_day,1,Y,,,2026-04-20,,6546.17,3273.00
2026-04-22 00:00:00,71-5042,BigC,downtime_origin_day,1,Y,,,2026-04-21,,6546.17,3273.00
2026-04-22 00:00:00,71-5042,BigC,downtime_origin_day,1,Y,,,2026-04-22,,6546.17,3273.00
2026-04-22 00:00:00,71-6802,LCB,downtime_origin_day,1,Y,,,2026-04-22,,6546.17,3273.00
2026-04-23 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-22,,6546.17,3273.00
2026-04-22 00:00:00,71-9629,LCB,downtime_origin_day,1,Y,,,2026-04-22,,6546.17,3273.00
2026-04-22 00:00:00,72-1217,LCB,downtime_origin_day,1,Y,,,2026-04-22,,6546.17,3273.00
2026-04-25 00:00:00,71-6802,LCB,downtime_origin_day,1,Y,,,2026-04-25,,6500.00,3250.00
2026-04-26 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-25,,6500.00,3250.00
2026-04-25 00:00:00,71-9629,LCB,downtime_origin_day,1,Y,,,2026-04-25,,6500.00,3250.00
2026-04-26 00:00:00,71-9629,LCB,downtime_origin_day,1,Y,,,2026-04-26,,6500.00,3250.00
2026-04-29 00:00:00,71-5042,BigC,downtime_origin_day,1,Y,,,2026-04-29,,6500.00,3250.00
2026-04-30 00:00:00,71-6802,LCB,downtime_origin_day,1,Y,,,2026-04-29,,6500.00,3250.00
2026-04-29 00:00:00,71-8681,LCB,downtime_origin_day,1,Y,,,2026-04-29,,6500.00,3250.00
2026-04-29 00:00:00,71-9629,LCB,downtime_origin_day,1,Y,,,2026-04-29,,6500.00,3250.00
2026-05-01 00:00:00,71-5042,BigC,downtime_origin_day,1,Y,,,2026-05-01,,7432.03,3716.00
2026-05-01 00:00:00,72-1217,LCB,downtime_origin_day,1,Y,,,2026-05-01,,7432.03,3716.00
2026-04-21 00:00:00,71-6802,LCB,midnight_full,1,N,,รอปลายทางข้ามคืน Dest_In→Dest_Out (20.96h); เต็ม 1 เที่ยว (เรทวัน Dest_In),2026-04-21 16:38:59,2026-04-22 13:36:47,6645.86,6645.00
2026-04-21 00:00:00,71-8681,LCB,midnight_full,1,N,,รอปลายทางข้ามคืน Dest_In→Dest_Out (21.30h); เต็ม 1 เที่ยว (เรทวัน Dest_In),2026-04-21 13:37:02,2026-04-22 10:55:11,6645.86,6645.00
2026-04-21 00:00:00,71-9629,LCB,midnight_full,1,N,,รอปลายทางข้ามคืน Dest_In→Dest_Out (18.79h); เต็ม 1 เที่ยว (เรทวัน Dest_In),2026-04-21 09:15:51,2026-04-22 04:03:28,6645.86,6645.00
