Dest_In_date,Plate,Amount_baht,Note,,
2026-04-22 00:00:00,72-1217,3250.00,ค่าขนส่งงานขากลับ 50% ของราคาเที่ยวหลัก,,
2026-05-01 00:00:00,71-5042,3632.00,ตีเปล่าไป P&G 50%,,
2026-05-10 00:00:00,71-8009,3584.00,BH ขากลับ P&G>บ้านบึง 50%,,
2026-05-11 00:00:00,71-8009,3584.00,BH ขากลับ P&G>บ้านบึง 50%,,
2026-05-20 00:00:00,71-8002,3728.00,BH ขากลับ P&G>บ้านบึง 50%,,
2026-05-20 00:00:00,71-8005,3728.00,ตีเปล่าไป P&G 50% (เที่ยวว่าง GPS นับเต็ม → ตัด base 1 เที่ยว แตกเป็นตีเปล่า+ขากลับ),,
2026-05-20 00:00:00,71-8005,3728.00,BH ขากลับ P&G>บ้านบึง 50% (เที่ยวว่าง GPS นับเต็ม → ตัด base 1 เที่ยว แตกเป็นตีเปล่า+ขากลับ),,
2026-05-20 00:00:00,71-8009,3728.00,BH ขากลับ P&G>บ้านบึง 50%,,
2026-05-20 00:00:00,71-8001,3728.00,"ตีเปล่าไป P&G 50% (วันผสม 2BH+ตีเปล่า, base บิล 1 เที่ยว)",,
2026-05-21 00:00:00,71-8001,3728.00,BH ขากลับ P&G>บ้านบึง 50%,,
2026-05-22 00:00:00,71-8009,3728.00,BH ขากลับ P&G>บ้านบึง 50%,,
