system_row,dest_in_date,plate_raw,trip_amount_raw_2dp,downtime50_raw_2dp,downtime100_raw_2dp,blank50_raw_2dp,return_raw_2dp,struct_key
1,2026-04-09,71-8001,7275.00,0.00,0.00,0.00,0.00,2026-04-09 00:00:00|71-8001|#1
2,2026-04-09,71-8001,7275.00,0.00,0.00,0.00,0.00,2026-04-09 00:00:00|71-8001|#2
3,2026-04-09,71-8002,7275.00,0.00,0.00,0.00,0.00,2026-04-09 00:00:00|71-8002|#1
4,2026-04-10,71-8001,7275.00,0.00,0.00,0.00,0.00,2026-04-10 00:00:00|71-8001|#1
5,2026-04-10,71-8001,7275.00,0.00,0.00,0.00,0.00,2026-04-10 00:00:00|71-8001|#2
6,2026-04-10,71-8002,7275.00,0.00,0.00,0.00,0.00,2026-04-10 00:00:00|71-8002|#1
7,2026-04-10,71-8002,7275.00,0.00,0.00,0.00,0.00,2026-04-10 00:00:00|71-8002|#2
8,2026-04-10,71-8003,7275.00,0.00,0.00,0.00,0.00,2026-04-10 00:00:00|71-8003|#1
9,2026-04-10,71-8684,7275.00,3638.00,0.00,0.00,0.00,2026-04-10 00:00:00|71-8684|#1
10,2026-04-11,71-5041,7275.00,3412.00,0.00,0.00,0.00,2026-04-11 00:00:00|71-5041|#1
11,2026-04-11,71-8001,6825.00,0.00,0.00,0.00,0.00,2026-04-11 00:00:00|71-8001|#1
12,2026-04-11,71-8002,7275.00,0.00,0.00,0.00,0.00,2026-04-11 00:00:00|71-8002|#1
13,2026-04-11,71-8003,7275.00,0.00,0.00,0.00,0.00,2026-04-11 00:00:00|71-8003|#1
14,2026-04-11,71-8683,7275.00,3412.00,0.00,0.00,0.00,2026-04-11 00:00:00|71-8683|#1
15,2026-04-12,71-5041,6825.00,3640.00,0.00,0.00,0.00,2026-04-12 00:00:00|71-5041|#1
17,2026-04-12,71-8001,6825.00,0.00,0.00,0.00,0.00,2026-04-12 00:00:00|71-8001|#1
18,2026-04-12,71-8002,6825.00,3640.00,0.00,0.00,0.00,2026-04-12 00:00:00|71-8002|#1
19,2026-04-12,71-8003,6825.00,3640.00,0.00,0.00,0.00,2026-04-12 00:00:00|71-8003|#1
47,2026-04-16,71-6802,7280.00,0.00,0.00,0.00,0.00,2026-04-16 00:00:00|71-6802|#1
48,2026-04-16,71-6802,6825.00,0.00,0.00,0.00,0.00,2026-04-16 00:00:00|71-6802|#2
49,2026-04-16,71-8681,7280.00,3412.00,0.00,0.00,0.00,2026-04-16 00:00:00|71-8681|#1
50,2026-04-16,71-8967,6825.00,0.00,0.00,0.00,0.00,2026-04-16 00:00:00|71-8967|#1
51,2026-04-16,71-9629,7280.00,3412.00,0.00,0.00,0.00,2026-04-16 00:00:00|71-9629|#1
52,2026-04-16,71-9629,6825.00,0.00,0.00,0.00,0.00,2026-04-16 00:00:00|71-9629|#2
53,2026-04-16,71-9629,6825.00,0.00,0.00,0.00,0.00,2026-04-16 00:00:00|71-9629|#3
54,2026-04-16,72-1217,6825.00,0.00,0.00,0.00,0.00,2026-04-16 00:00:00|72-1217|#1
55,2026-04-16,72-1217,6825.00,0.00,0.00,0.00,0.00,2026-04-16 00:00:00|72-1217|#2
56,2026-04-17,71-6802,6825.00,0.00,0.00,0.00,0.00,2026-04-17 00:00:00|71-6802|#1
57,2026-04-17,71-6802,6600.00,0.00,0.00,0.00,0.00,2026-04-17 00:00:00|71-6802|#2
58,2026-04-17,71-8681,6825.00,3300.00,0.00,0.00,0.00,2026-04-17 00:00:00|71-8681|#1
59,2026-04-17,71-8681,6600.00,0.00,0.00,0.00,0.00,2026-04-17 00:00:00|71-8681|#2
60,2026-04-17,71-8967,6825.00,0.00,0.00,0.00,0.00,2026-04-17 00:00:00|71-8967|#1
61,2026-04-17,71-8967,6600.00,0.00,0.00,0.00,0.00,2026-04-17 00:00:00|71-8967|#2
