match_type,customer_row,system_row,dest_in_date,plate
normalized_2dp,16,16,2026-04-12,71-5041
normalized_2dp,20,20,2026-04-12,71-8684
normalized_2dp,21,21,2026-04-13,71-5041
normalized_2dp,22,22,2026-04-13,71-5041
normalized_2dp,23,23,2026-04-13,71-6802
normalized_2dp,24,24,2026-04-13,71-6802
normalized_2dp,25,25,2026-04-13,71-8681
normalized_2dp,26,26,2026-04-13,71-9629
normalized_2dp,27,27,2026-04-13,71-9629
normalized_2dp,28,28,2026-04-13,72-1217
normalized_2dp,29,29,2026-04-13,72-1217
normalized_2dp,30,30,2026-04-13,72-1217
normalized_2dp,31,31,2026-04-14,71-6802
normalized_2dp,32,32,2026-04-14,71-8681
normalized_2dp,33,33,2026-04-14,71-9629
normalized_2dp,34,34,2026-04-14,71-9629
normalized_2dp,35,35,2026-04-14,71-9629
normalized_2dp,36,36,2026-04-14,72-1217
normalized_2dp,37,37,2026-04-14,72-1217
normalized_2dp,38,38,2026-04-14,72-1220
normalized_2dp,39,39,2026-04-15,71-6802
normalized_2dp,40,40,2026-04-15,71-6802
normalized_2dp,41,41,2026-04-15,71-6802
normalized_2dp,42,42,2026-04-15,71-8681
normalized_2dp,43,43,2026-04-15,71-9629
normalized_2dp,44,44,2026-04-15,72-1217
normalized_2dp,45,45,2026-04-15,72-1217
normalized_2dp,46,46,2026-04-15,72-1220
normalized_2dp,91,91,2026-04-25,71-6802
normalized_2dp,92,92,2026-04-25,71-9629
normalized_2dp,93,93,2026-04-26,71-5042
normalized_2dp,94,94,2026-04-26,71-5042
normalized_2dp,95,95,2026-04-26,71-5042
normalized_2dp,96,96,2026-04-26,71-6802
normalized_2dp,97,97,2026-04-26,71-6802
normalized_2dp,98,98,2026-04-26,71-8681
normalized_2dp,99,99,2026-04-26,71-9629
normalized_2dp,100,100,2026-04-29,71-5042
normalized_2dp,101,101,2026-04-29,71-8681
normalized_2dp,102,102,2026-04-29,71-9629
normalized_2dp,103,103,2026-04-30,71-6802
