site,month,customer,destination,rows
AYU,2026-06,?,?,231
AYU,2026-06,Oatside,P&G,121
AYU,2026-05,?,?,59
BIGC,2026-04,?,ส่งงานต่อเนื่อง,53
BIGC,2026-05,?,?,53
BIGC,2026-05,?,ค่าเสียเวลา,34
BIGC,2026-04,?,รองาน,32
BIGC,2026-05,?,ส่งงานต่อเนื่อง,27
BIGC,2026-04,?,?,23
BIGC,2026-05,?,Ratchaburi,13
BIGC,2026-05,?,รองาน,13
BIGC,2026-05,?,DKSH บางปะอิน,13
BIGC,2026-05,?,ซ่อม,11
BIGC,2026-04,?,Ratchaburi,10
BIGC,2026-05,?,Kanchanaburi,10
BIGC,2026-04,?,Petchburi,9
BIGC,2026-05,?,BH บ้านบึง,8
BIGC,2026-04,?,Pisanulok,7
BIGC,2026-04,?,Samutsongkhram,7
BIGC,2026-05,?,รถซ่อม,7
AYU,2026-06,Conti,RDC บางพลี,7
AYU,2026-06,ABF,DKSH บางปะอิน,7
BIGC,2026-04,?,Sakaeo,6
BIGC,2026-04,?,"Bowin , Rayong",5
BIGC,2026-05,?,Sattahip,5
BIGC,2026-05,?,Extra_Pattaya 3,5
BIGC,2026-04,?,BMK_Chum Phuang,4
BIGC,2026-04,?,Sattahip,4
BIGC,2026-04,?,Lopburi,4
BIGC,2026-05,?,Samutsongkhram,4
BIGC,2026-05,?,Kimberly,4
BIGC,2026-05,?,เข้าอู่,4
BIGC,2026-05,?,ไม่มีใบงาน,4
BIGC,2026-04,?,แอลจี,3
BIGC,2026-04,?,Kanchanaburi,3
BIGC,2026-04,?,Extra_Chonburi 2,3
BIGC,2026-04,?,Big C Dankhuntod,3
BIGC,2026-04,?,Sukhothai,3
BIGC,2026-04,?,ค่าเสียเวลา,3
BIGC,2026-05,?,BMK_Lomsak,3
BIGC,2026-05,?,พาเลทส่งปากช่อง,3
BIGC,2026-05,?,Sakaeo,3
BIGC,2026-05,?,ซ่อม เกียร์,3
AYU,2026-06,Wonder,บิ๊กซีธัญญะ,3
AYU,2026-06,ABF,วังน้ำเย็น,3
AYU,2026-06,Oatside,บ้านบึง,3
BIGC,2026-04,?,เริ่มทำงาน 04/04/26,2
BIGC,2026-04,?,Chonburi,2
BIGC,2026-04,?,CP วังน้อย CDC,2
BIGC,2026-04,?,ส่งP&G   TO-OTL09679,2
BIGC,2026-04,?,BMK_Lomsak,2
BIGC,2026-04,?,"Pakchong , Nakhon Ratchasima",2
BIGC,2026-04,?,เข้าอู่,2
BIGC,2026-04,?,Korat 2,2
