วันที่_Dest_In,จำนวนเที่ยว_matched,จำนวนรถ_มีเที่ยววันนั้น,,,
2026-05-01 00:00:00,2,2,,,
2026-05-02 00:00:00,1,1,,,
2026-05-03 00:00:00,2,2,,,
2026-05-04 00:00:00,5,4,,,
2026-05-05 00:00:00,2,2,,,
2026-05-06 00:00:00,4,2,,,
2026-05-07 00:00:00,6,4,,,
2026-05-08 00:00:00,4,3,,,
2026-05-09 00:00:00,5,4,,,
2026-05-10 00:00:00,5,3,,,
2026-05-11 00:00:00,4,3,,,
2026-05-12 00:00:00,5,3,,,
2026-05-13 00:00:00,5,3,,,
2026-05-14 00:00:00,7,4,,,
2026-05-15 00:00:00,4,3,,,
2026-05-16 00:00:00,3,2,,,
2026-05-17 00:00:00,5,3,,,
2026-05-18 00:00:00,4,4,,,
2026-05-19 00:00:00,8,5,,,
2026-05-20 00:00:00,6,5,,,
2026-05-21 00:00:00,6,5,,,
2026-05-22 00:00:00,6,5,,,
2026-05-23 00:00:00,6,4,,,
2026-05-24 00:00:00,8,5,,,
2026-05-25 00:00:00,4,4,,,
2026-05-26 00:00:00,6,4,,,
2026-05-27 00:00:00,3,3,,,
2026-05-28 00:00:00,7,4,,,
2026-05-29 00:00:00,8,5,,,
2026-05-30 00:00:00,5,4,,,
2026-05-31 00:00:00,6,4,,,
