Dest_In_date,Plate,Site,Matched_trips,Trip_rate_baht,Base_line_baht,Fifty_pct_baht,Return_trip_baht,Customer_day_baht
2026-04-22 00:00:00,72-1217,LCB,0,6546.17,0.00,0.00,3273.00,3273.00
2026-05-01 00:00:00,71-5042,BigC,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-01 00:00:00,72-1217,LCB,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-02 00:00:00,71-5042,BigC,0,6597.50,0.00,3299.00,0.00,3299.00
2026-05-02 00:00:00,71-6802,LCB,1,6597.50,6597.50,6598.00,0.00,13195.50
2026-05-02 00:00:00,72-1217,LCB,0,6597.50,0.00,3299.00,0.00,3299.00
2026-05-02 00:00:00,72-1218,LCB,0,6597.50,0.00,3299.00,0.00,3299.00
2026-05-03 00:00:00,71-5042,BigC,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-03 00:00:00,72-1218,LCB,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-04 00:00:00,71-5042,BigC,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-04 00:00:00,71-6802,LCB,2,6597.50,13195.00,6598.00,0.00,19793.00
2026-05-04 00:00:00,72-1217,LCB,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-04 00:00:00,72-1218,LCB,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-05 00:00:00,72-1217,LCB,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-05 00:00:00,72-1218,LCB,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-06 00:00:00,72-1217,LCB,2,6597.50,13195.00,3299.00,0.00,16494.00
2026-05-06 00:00:00,72-1218,LCB,2,6597.50,13195.00,3299.00,0.00,16494.00
2026-05-07 00:00:00,71-5041,BigC,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-07 00:00:00,71-8009,BigC,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-07 00:00:00,72-1217,LCB,2,6597.50,13195.00,0.00,0.00,13195.00
2026-05-07 00:00:00,72-1218,LCB,2,6597.50,13195.00,3299.00,0.00,16494.00
2026-05-08 00:00:00,71-8009,BigC,1,6500.00,6500.00,3250.00,0.00,9750.00
2026-05-08 00:00:00,72-1217,LCB,2,6500.00,13000.00,0.00,0.00,13000.00
2026-05-08 00:00:00,72-1218,LCB,1,6500.00,6500.00,0.00,0.00,6500.00
2026-05-09 00:00:00,71-5041,BigC,1,6500.00,6500.00,3250.00,0.00,9750.00
2026-05-09 00:00:00,71-8009,BigC,1,6500.00,6500.00,3250.00,0.00,9750.00
2026-05-09 00:00:00,72-1217,LCB,1,6500.00,6500.00,0.00,0.00,6500.00
2026-05-09 00:00:00,72-1218,LCB,2,6500.00,13000.00,3250.00,0.00,16250.00
2026-05-10 00:00:00,71-5041,BigC,2,6500.00,13000.00,6500.00,0.00,19500.00
2026-05-10 00:00:00,71-8009,BigC,1,6500.00,6500.00,0.00,0.00,6500.00
2026-05-10 00:00:00,72-1217,LCB,2,6500.00,13000.00,6500.00,0.00,19500.00
2026-05-11 00:00:00,71-5041,BigC,1,6500.00,6500.00,0.00,0.00,6500.00
2026-05-11 00:00:00,71-8009,BigC,2,6500.00,13000.00,0.00,0.00,13000.00
2026-05-11 00:00:00,72-1217,LCB,1,6500.00,6500.00,0.00,0.00,6500.00
2026-05-12 00:00:00,71-5041,BigC,2,6500.00,13000.00,3250.00,0.00,16250.00
2026-05-12 00:00:00,71-8009,BigC,1,6500.00,6500.00,0.00,0.00,6500.00
2026-05-12 00:00:00,72-1217,LCB,2,6500.00,13000.00,0.00,0.00,13000.00
2026-05-13 00:00:00,71-5041,BigC,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-13 00:00:00,71-8009,BigC,2,6597.50,13195.00,3299.00,0.00,16494.00
2026-05-13 00:00:00,72-1217,LCB,2,6597.50,13195.00,0.00,0.00,13195.00
2026-05-14 00:00:00,71-5041,BigC,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-14 00:00:00,71-8002,BigC,2,6597.50,13195.00,0.00,0.00,13195.00
2026-05-14 00:00:00,71-8009,BigC,2,6597.50,13195.00,3299.00,0.00,16494.00
2026-05-14 00:00:00,72-1217,LCB,2,6597.50,13195.00,3299.00,0.00,16494.00
2026-05-15 00:00:00,71-5041,BigC,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-15 00:00:00,71-8002,BigC,2,6597.50,13195.00,0.00,0.00,13195.00
2026-05-15 00:00:00,72-1217,LCB,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-16 00:00:00,71-8002,BigC,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-16 00:00:00,72-1217,LCB,2,6597.50,13195.00,3299.00,0.00,16494.00
2026-05-17 00:00:00,71-8002,BigC,3,6597.50,19792.50,0.00,0.00,19792.50
2026-05-17 00:00:00,71-8005,BigC,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-17 00:00:00,72-1217,LCB,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-18 00:00:00,71-8002,BigC,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-18 00:00:00,71-8005,BigC,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-18 00:00:00,71-8009,BigC,1,6597.50,6597.50,3299.00,0.00,9896.50
2026-05-18 00:00:00,72-1217,LCB,1,6597.50,6597.50,0.00,0.00,6597.50
2026-05-19 00:00:00,71-8001,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-19 00:00:00,71-8002,BigC,2,6696.46,13392.92,3348.00,0.00,16740.92
2026-05-19 00:00:00,71-8005,BigC,2,6696.46,13392.92,3348.00,0.00,16740.92
2026-05-19 00:00:00,71-8009,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-19 00:00:00,72-1217,LCB,2,6696.46,13392.92,3348.00,0.00,16740.92
2026-05-20 00:00:00,71-8001,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-20 00:00:00,71-8002,BigC,2,6696.46,13392.92,0.00,0.00,13392.92
2026-05-20 00:00:00,71-8005,BigC,2,6696.46,13392.92,3348.00,0.00,16740.92
2026-05-20 00:00:00,71-8009,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-20 00:00:00,72-1217,LCB,1,6696.46,6696.46,0.00,0.00,6696.46
2026-05-21 00:00:00,71-8001,BigC,2,6696.46,13392.92,0.00,0.00,13392.92
2026-05-21 00:00:00,71-8002,BigC,1,6696.46,6696.46,0.00,0.00,6696.46
2026-05-21 00:00:00,71-8005,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-21 00:00:00,71-8009,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-21 00:00:00,72-1217,LCB,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-22 00:00:00,71-8001,BigC,1,6696.46,6696.46,0.00,0.00,6696.46
2026-05-22 00:00:00,71-8002,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-22 00:00:00,71-8005,BigC,1,6696.46,6696.46,3348.00,0.00,10044.46
2026-05-22 00:00:00,71-8009,BigC,2,6696.46,13392.92,6696.00,0.00,20088.92
2026-05-22 00:00:00,72-1217,LCB,1,6696.46,6696.46,0.00,0.00,6696.46
2026-05-23 00:00:00,71-8001,BigC,2,6696.46,13392.92,3348.00,0.00,16740.92
