Dest_In_date,Plate,Site,เที่ยว,เรท(฿),ค่าเที่ยว(฿),+50/25%(฿),ขากลับ(฿),รวมวันนี้(฿),เหตุผลการคิดเงิน
2026-07-01 00:00:00,71-8001,BigC,2,6976.00,13952.00,0.00,0.00,13952.00,ไม่เก็บเพิ่ม (จบ 2 เที่ยว)
2026-07-01 00:00:00,71-8002,BigC,2,6976.00,13952.00,0.00,0.00,13952.00,ไม่เก็บเพิ่ม (จบ 2 เที่ยว)
2026-07-01 00:00:00,71-8003,BigC,2,6976.00,13952.00,0.00,3488.00,17440.00,"ไม่เก็บ [override: exclude_50] — วันนี้มี 2 เที่ยวจริง: เที่ยวคาบเดือน 30/6→1/7 (manual_extra TO-OTL15571 ส่ง 01:21) + เที่ยว matched (TO-OTL15612) — ไม่เข้าเงื่อนไขวันวิ่ง 1 เที่ยว จึงไม่เก็บ 25% | เที่ยวเพิ่ม (ไม่มีใน GPS): เที่ยวคาบเดือน ขึ้นของ 30/6 (Jun tab TO-OTL15571) ส่ง P&G 1/7 01:21 — GPS ก.ค. ไม่มีขาต้นทาง (UM-D); มิ.ย. เก็บเฉพาะ no_finish 30/6 ตาม runbook — ตัวเที่ยวเก็บรอบนี้ @เรท 1/7 (น้ำมัน 37.50) (+6,976.00฿) | ขากลับ (manual): BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 1/7 11พาเลท = ชีท LCB 1/7 13พาเลท — เหตุการณ์เดียว นับครั้งเดียว) (+3,488.00฿)"
2026-07-01 00:00:00,71-8004,BigC,0,6976.00,0.00,0.00,0.00,0.00,ไม่เก็บ — รถแช่ต้นทาง 12.5 ชม. (รอคิว/โหลดของ ไม่ใช่ติดค้างปลายทาง)
2026-07-01 00:00:00,71-8009,BigC,2,6976.00,13952.00,0.00,0.00,13952.00,ไม่เก็บเพิ่ม (จบ 2 เที่ยว)
2026-07-01 00:00:00,71-8967,LCB,0,6976.00,0.00,0.00,0.00,0.00,ไม่เก็บ — รถไม่ได้เข้าโรงงาน
2026-07-02 00:00:00,71-8001,BigC,2,6976.00,13952.00,0.00,0.00,13952.00,ไม่เก็บเพิ่ม (จบ 2 เที่ยว)
2026-07-02 00:00:00,71-8002,BigC,2,6976.00,13952.00,0.00,0.00,13952.00,ไม่เก็บเพิ่ม (จบ 2 เที่ยว)
2026-07-02 00:00:00,71-8003,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-02 00:00:00,71-8004,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-02 00:00:00,71-8009,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-02 00:00:00,72-1219,LCB,0,6976.00,0.00,0.00,0.00,0.00,ไม่เก็บ — รถไม่ได้เข้าโรงงาน
2026-07-03 00:00:00,71-8001,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-03 00:00:00,71-8002,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-03 00:00:00,71-8003,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-03 00:00:00,71-8004,BigC,0,6976.00,0.00,0.00,0.00,0.00,ไม่เก็บ — รถแช่ต้นทาง 24.0 ชม. (รอคิว/โหลดของ ไม่ใช่ติดค้างปลายทาง)
2026-07-03 00:00:00,71-8009,BigC,2,6976.00,13952.00,0.00,0.00,13952.00,ไม่เก็บเพิ่ม (จบ 2 เที่ยว)
2026-07-04 00:00:00,71-8001,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-04 00:00:00,71-8002,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-04 00:00:00,71-8003,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,เก็บ 25% อัตโนมัติ (จบ 1 เที่ยว)
2026-07-04 00:00:00,71-8004,BigC,1,6976.00,6976.00,1744.00,0.00,8720.00,"ไม่เก็บ — รถแช่ต้นทาง 10.8 ชม. (รอคิว/โหลดของ ไม่ใช่ติดค้างปลายทาง) | เที่ยวเพิ่ม (ไม่มีใน GPS): เดลี่ AYU 4/7 TO-OTL15906 (อุดมชัย) — GPS มีขาต้นทาง 2/7 11:23→4/7 10:45 (47ชม.) แต่ขา P&G หาย; เที่ยวจริงตามใบงาน @เรท 4/7 (ส่วนเพิ่มวันวิ่ง 1 เที่ยว 25% เก็บผ่าน override include_50 แยกช่องเหมือนเที่ยวปกติ) (+6,976.00฿)"
