Dest_In date,Active trucks (all),Actual trips (all),Commit min (2x trucks),Shortfall trips (all),BigC trucks,BigC trips,LCB trucks,LCB trips
2026-04-09 00:00:00,2,3,4,1,2,3,0,0
2026-04-10 00:00:00,4,6,8,2,3,5,1,1
2026-04-11 00:00:00,5,5,10,5,4,4,1,1
2026-04-12 00:00:00,5,6,10,4,4,5,1,1
2026-04-13 00:00:00,5,10,10,0,1,2,4,8
2026-04-14 00:00:00,5,8,10,2,0,0,5,8
2026-04-15 00:00:00,5,8,10,2,0,0,5,8
2026-04-16 00:00:00,5,9,10,1,0,0,5,9
2026-04-17 00:00:00,5,10,10,0,0,0,5,10
2026-04-18 00:00:00,3,3,6,3,0,0,3,3
2026-04-19 00:00:00,4,5,8,3,0,0,4,5
2026-04-20 00:00:00,4,6,8,2,0,0,4,6
2026-04-21 00:00:00,4,4,8,4,0,0,4,4
2026-04-22 00:00:00,4,5,8,3,1,2,3,3
2026-04-23 00:00:00,1,1,2,1,0,0,1,1
2026-04-25 00:00:00,3,3,6,3,1,1,2,2
2026-04-26 00:00:00,4,7,8,1,1,3,3,4
2026-04-29 00:00:00,3,3,6,3,1,1,2,2
2026-04-30 00:00:00,1,1,2,1,0,0,1,1
2026-05-01 00:00:00,2,2,4,2,1,1,1,1
