Dest_In_date,Plate,Amount_baht,Note,,
2026-07-01 00:00:00,71-8003,3488.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 1/7 11พาเลท = ชีท LCB 1/7 13พาเลท — เหตุการณ์เดียว นับครั้งเดียว),,
2026-07-04 00:00:00,71-8009,3488.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท LCB 4/7 มีของกลับ 12 พาเลท),,
2026-07-05 00:00:00,71-8003,3488.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท LCB 5/7 มีของกลับ 10 พาเลท),,
2026-07-08 00:00:00,71-5041,3344.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 8/7 — ไม่ระบุจำนวนพาเลท),,
2026-07-08 00:00:00,71-8003,3344.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท LCB 8/7 มีของกลับ 14 พาเลท),,
2026-07-09 00:00:00,71-8003,3344.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท LCB 9/7 มีของกลับ 10 พาเลท),,
2026-07-10 00:00:00,71-8001,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 10/7, 21 พาเลท)",,
2026-07-10 00:00:00,71-5041,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 10/7, 10 พาเลท)",,
2026-07-11 00:00:00,71-8001,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 11/7, 19 พาเลท)",,
2026-07-13 00:00:00,71-8003,3344.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท LCB 13/7 มีของกลับ 2 พาเลท),,
2026-07-16 00:00:00,71-8001,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 16/7, 10 พาเลท)",,
2026-07-16 00:00:00,71-8009,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 16/7, 4 พาเลท)",,
2026-07-17 00:00:00,71-8002,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 17/7, 7 พาเลท)",,
2026-07-20 00:00:00,71-8002,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 20/7, 20 พาเลท T9874551)",,
2026-07-20 00:00:00,71-5042,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 20/7, 10 พาเลท = ชีท LCB 20/7 — เหตุการณ์เดียว)",,
2026-07-21 00:00:00,71-8002,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 21/7, 18 พาเลท)",,
2026-07-21 00:00:00,71-8009,3344.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 21/7, TO-OTL17062 เต็มตู้)",,
2026-07-22 00:00:00,71-8001,3392.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 22/7, 17 พาเลท)",,
2026-07-23 00:00:00,71-5042,3440.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 23/7, 10 พาเลท T9874565 = ชีท LCB 23/7)",,
2026-07-24 00:00:00,71-8003,3440.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 24/7, 16 พาเลท = ชีท LCB 24/7)",,
2026-07-24 00:00:00,71-8009,3440.00,BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 24/7 9 พาเลท = ชีท LCB 24/7 6 พาเลท — เหตุการณ์เดียว จำนวนพาเลทสองชีทไม่ตรงกัน),,
2026-07-25 00:00:00,71-8001,3440.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 25/7, 20 พาเลท T9874597)",,
2026-07-25 00:00:00,71-5042,3440.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 25/7, 20 พาเลท — ชีท LCB ลง 24/7 มีของกลับ 20 พาเลท = เหตุการณ์เดียว ข้ามคืน นับครั้งเดียวตามวันชีท AYU)",,
2026-07-27 00:00:00,71-5042,3440.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 27/7, 16 พาเลท = ชีท LCB 27/7)",,
2026-07-31 00:00:00,71-8001,3440.00,"BH ขากลับ P&G>บ้านบึง 50% (ชีท AYU 31/7, 11 พาเลท TO-OTL17903)",,
