Plate,Homepro_Daily,LCB_Daily,GPS_Oatside,GPS_PG,ระบบ,ส่วนต่าง_Daily-ระบบ,Diagnosis
71-5041,12,0,10,11,10,2,Daily คีย์เกินระบบ 2 เที่ยว — GPS ยืนยันว่าวิ่งจริง 10
71-5042,10,0,9,10,8,2,Daily 10 > ระบบ 8; GPS o=9 d=10
71-6802,0,3,4,3,3,0,Daily ตรงระบบ
71-8001,13,0,10,13,9,4,Daily 13 > ระบบ 9; GPS o=10 d=13
71-8002,30,0,29,31,28,2,Daily 30 > ระบบ 28; GPS o=29 d=31
71-8003,7,0,8,6,6,1,Daily คีย์เกินระบบ 1 เที่ยว — GPS ยืนยันว่าวิ่งจริง 6
71-8005,13,0,14,13,12,1,Daily 13 > ระบบ 12; GPS o=14 d=13
71-8009,35,0,28,28,28,7,Daily คีย์เกินระบบ 7 เที่ยว — GPS ยืนยันว่าวิ่งจริง 28
71-8683,0,0,0,1,0,0,Daily ตรงระบบ
72-1217,0,42,42,40,40,2,Daily คีย์เกินระบบ 2 เที่ยว — GPS ยืนยันว่าวิ่งจริง 40
72-1218,0,11,10,10,10,1,Daily คีย์เกินระบบ 1 เที่ยว — GPS ยืนยันว่าวิ่งจริง 10
