customer_row,dest_in_date,plate,trip_amount_customer_2dp,downtime50_customer_2dp,downtime100_customer_2dp,blank50_customer_2dp,return_customer_2dp,candidate_system_row,unmatched_reason,confidence
1,2026-04-09,71-8001,7276.7,0.0,0.0,0.0,0.0,1,same_date_plate_ordinal_but_amount_mismatch,medium
2,2026-04-09,71-8001,7276.7,0.0,0.0,0.0,0.0,2,same_date_plate_ordinal_but_amount_mismatch,medium
3,2026-04-09,71-8002,7276.7,0.0,0.0,0.0,0.0,3,same_date_plate_ordinal_but_amount_mismatch,medium
4,2026-04-10,71-8001,7276.7,0.0,0.0,0.0,0.0,4,same_date_plate_ordinal_but_amount_mismatch,medium
5,2026-04-10,71-8001,7276.7,0.0,0.0,0.0,0.0,5,same_date_plate_ordinal_but_amount_mismatch,medium
6,2026-04-10,71-8002,7276.7,0.0,0.0,0.0,0.0,6,same_date_plate_ordinal_but_amount_mismatch,medium
7,2026-04-10,71-8002,7276.7,0.0,0.0,0.0,0.0,7,same_date_plate_ordinal_but_amount_mismatch,medium
8,2026-04-10,71-8003,7276.7,0.0,0.0,0.0,0.0,8,same_date_plate_ordinal_but_amount_mismatch,medium
9,2026-04-10,71-8684,7276.7,3638.35,0.0,0.0,0.0,9,same_date_plate_ordinal_but_amount_mismatch,medium
10,2026-04-11,71-5041,6849.8,3424.9,0.0,0.0,0.0,10,same_date_plate_ordinal_but_amount_mismatch,medium
11,2026-04-11,71-8001,6849.8,0.0,0.0,0.0,0.0,11,same_date_plate_ordinal_but_amount_mismatch,medium
12,2026-04-11,71-8002,6849.8,0.0,0.0,0.0,0.0,12,same_date_plate_ordinal_but_amount_mismatch,medium
13,2026-04-11,71-8003,6849.8,0.0,0.0,0.0,0.0,13,same_date_plate_ordinal_but_amount_mismatch,medium
14,2026-04-11,71-8683,6849.8,3424.9,0.0,0.0,0.0,14,same_date_plate_ordinal_but_amount_mismatch,medium
15,2026-04-12,71-5041,7280.0,3640.0,0.0,0.0,0.0,15,same_date_plate_ordinal_but_amount_mismatch,medium
17,2026-04-12,71-8001,7280.0,0.0,0.0,0.0,0.0,17,same_date_plate_ordinal_but_amount_mismatch,medium
18,2026-04-12,71-8002,7280.0,3640.0,0.0,0.0,0.0,18,same_date_plate_ordinal_but_amount_mismatch,medium
19,2026-04-12,71-8003,7280.0,3640.0,0.0,0.0,0.0,19,same_date_plate_ordinal_but_amount_mismatch,medium
47,2026-04-16,71-6802,6849.8,0.0,0.0,0.0,0.0,47,same_date_plate_ordinal_but_amount_mismatch,medium
